key,value
HD01_VD02,All
HD01_VD03,Under 5 years
HD01_VD04,5 to 9 years
HD01_VD05,10 to 14 years
HD01_VD06,15 to 17 years
HD01_VD07,18 and 19 years
HD01_VD08,20 years
HD01_VD09,21 years
HD01_VD10,22 to 24 years
HD01_VD11,25 to 29 years
HD01_VD12,30 to 34 years
HD01_VD13,35 to 39 years
HD01_VD14,40 to 44 years
HD01_VD15,45 to 49 years
HD01_VD16,50 to 54 years
HD01_VD17,55 to 59 years
HD01_VD18,60 and 61 years
HD01_VD19,62 to 64 years
HD01_VD20,65 and 66 years
HD01_VD21,67 to 69 years
HD01_VD22,70 to 74 years
HD01_VD23,75 to 79 years
HD01_VD24,80 to 84 years
HD01_VD25,85 years and over
