key,value
B08301-HD01_VD01,All
B08301-HD01_VD02,All Personal Car
B08301-HD01_VD03,Car Drove alone
B08301-HD01_VD04,All Carpool
B08301-HD01_VD05,2-person pool
B08301-HD01_VD06,3-person pool
B08301-HD01_VD07,4-person pool
B08301-HD01_VD08,5-6 person pool
B08301-HD01_VD09,7+ person pool
B08301-HD01_VD10,All Public transport
B08301-HD01_VD11,Bus or trolley bus
B08301-HD01_VD12,Streetcar
B08301-HD01_VD13,Subway
B08301-HD01_VD14,Railroad
B08301-HD01_VD15,Ferryboat
B08301-HD01_VD16,Taxicab
B08301-HD01_VD17,Motorcycle
B08301-HD01_VD18,Bicycle
B08301-HD01_VD19,Walked
B08301-HD01_VD20,Other means
B08301-HD01_VD21,Worked at home
